ID,DIST,CO,RTE,PFX,BEGPM,PFX,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
1,2,SHA,5,R,4,R,5,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
2,2,SHA,5,R,5,R,6,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
3,2,SHA,5,R,6,R,7,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
4,2,SHA,5,R,7,R,8,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
5,2,SHA,5,R,8,R,9,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
6,2,SHA,5,R,9,R,10,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
7,2,SHA,5,R,10,R,11,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
8,2,SHA,5,R,11,R,12,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
9,2,SHA,5,R,12,R,13,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
10,2,SHA,5,R,13,R,14,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
11,2,SHA,5,R,14,R,15,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
12,2,SHA,5,R,15,R,16,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
13,2,SHA,5,R,16,R,17,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
14,2,SHA,5,R,17,R,18,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
15,2,SHA,5,R,18,R,19,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
16,2,SHA,5,R,19,R,20,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
17,2,SHA,5,R,20,R,21,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
18,2,SHA,5,R,21,R,22,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
19,2,SHA,5,R,22,R,23,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
20,2,SHA,5,R,23,R,24,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
21,2,SHA,5,R,24,R,25,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
22,2,SHA,5,R,25,R,26,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
23,2,SHA,5,R,26,R,27,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
24,2,SHA,5,R,27,R,28,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
25,2,SHA,5,R,28,R,29,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
26,2,SHA,5,R,36,R,37,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
27,2,SHA,5,R,37,R,38,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
28,2,SHA,5,R,38,R,39,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
29,2,SHA,5,R,39,R,40,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
30,2,SHA,5,R,40,R,41,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
31,2,SHA,5,R,41,R,42,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,,X,,,,,X,,,,50,X,,,,,X,,,,,100,75
32,2,SHA,5,R,42,R,43,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
33,2,SHA,5,R,43,R,44,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
34,2,SHA,5,R,44,R,45,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
35,2,SHA,5,R,45,R,46,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
36,2,SHA,5,R,46,R,47,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
37,2,SHA,5,R,47,R,48,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
38,2,SHA,5,R,48,R,49,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
39,2,SHA,5,R,49,R,50,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
40,2,SHA,5,R,50,R,51,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
41,2,SHA,5,R,51,R,52,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
42,2,SHA,5,R,52,R,53,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
43,2,SHA,5,R,53,R,54,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
44,2,SHA,5,R,55,R,56,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
45,2,SHA,5,R,56,,57,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
46,2,SHA,5,,57,,58,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
47,2,SHA,5,,58,,59,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
48,2,SHA,5,,59,,60,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
49,2,SHA,5,,60,,61,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
50,2,SHA,5,,61,,62,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
51,2,SHA,5,,62,,63,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
52,2,SHA,5,,63,,64,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
53,2,SHA,5,,64,,65,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
54,2,SHA,5,,65,,66,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2,SIS,5,,0,,1,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
56,2,SIS,5,,1,,2,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
57,2,SIS,5,,2,,3,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
58,2,SIS,5,,3,,4,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
59,2,SIS,5,,4,,5,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
60,2,SIS,5,,5,,6,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75,X,,,,,,X,,,,75,75
61,2,SIS,5,R,6,R,7,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75,X,,,,,X,,,,,100,88
62,2,SIS,5,R,7,R,8,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
63,2,SIS,5,R,8,R,9,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
64,2,SIS,5,R,9,R,10,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
65,2,SIS,5,R,10,R,11,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
66,2,SIS,5,R,11,R,12,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
67,2,SIS,5,R,12,R,13,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75,,X,,,,X,,,,,75,75
68,2,SIS,5,R,13,R,14,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
69,2,SIS,5,R,14,R,15,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
70,2,SIS,5,R,15,R,16,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
71,2,SIS,5,R,16,R,17,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
72,2,SIS,5,R,17,R,18,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,,,X,,,,X,,,,25,63
73,2,SIS,5,R,18,R,19,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,,X,,,,X,,,,,75,88
74,2,SIS,5,R,19,R,20,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
75,2,SIS,5,R,20,R,21,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
76,2,SIS,5,R,21,R,22,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
77,2,SIS,5,R,22,R,23,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,,X,,,,X,,,,,75,88
78,2,SIS,5,R,23,R,24,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75,X,,,,,X,,,,,100,88
79,2,SIS,5,R,24,R,25,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50,,X,,,,,X,,,,50,50
80,2,SIS,5,R,25,R,26,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50,,X,,,,,X,,,,50,50
81,2,SIS,5,R,26,R,27,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50,,X,,,,,X,,,,50,50
82,2,SIS,5,R,27,R,28,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
83,2,SIS,5,R,28,R,29,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75,,X,,,,,,,,,50,63
84,2,SIS,5,R,29,R,30,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
85,2,SIS,5,R,30,R,31,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75,,X,,,,X,,,,,75,75
86,2,SIS,5,R,31,R,32,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50,,X,,,,,X,,,,50,50
87,2,SIS,5,R,32,R,33,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
