ID,DIST,CO,RTE,PF1,BEGPM,Prefi1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,Average LOS score,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,Average LOS score,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,Q1 FY2024-Date Evaluated ,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Q1 FY2024-Date Evaluated ,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score,Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score,FY24Q3 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,FY24Q4 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,FY24Q4 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score
1,9,KER,58,,77,,78,1,,9,District 6 - South Region,District 6 - South Region,HiMt-3,Beg FY22,,1,,50,,1,,50,50,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,1,,50,1,,,100,75,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,,,X,,,X,,,,,50,,,X,,,X,,,,,50,50,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,10/5/2023,X,,,,,,,X,,,,M,75,88,1/8-10/24,X,,,,,,X,,,,,,100,1/11/2024,x,,,,,,x,,,,,,100,100,4/10/2024,X,,,,,,X,,,,,,100,,X,,,,,,X,,,,,,100,1/11/2024,x,,,,,,x,,,,,,100,100
2,9,KER,58,,78,,79,1,,9,District 6 - South Region,District 6 - South Region,HiMt-3,Beg FY22,,1,,50,,1,,50,50,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,1,,50,1,,,100,75,FY22/Q3,x,,,,,x,,,,,100,,,,,,,,,,,,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,,X,,,,X,,,,,75,,X,,,,X,,,,,75,75,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,,X,,,,M,X,,,,,,75,88,,X,,,,,,X,,,,,,100,1/11/2024,x,,,,,,x,,,,,,100,100,,X,,,,,,X,,,,,,100,,X,,,,,,X,,,,,,100,1/11/2024,x,,,,,,x,,,,,,100,100
3,9,KER,58,,79,,80,1,,9,District 6 - South Region,District 6 - South Region,HiMt-3,Beg FY22,,,1,0,,,1,0,0,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,,1,0,1,,,100,50,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,,x,,,,x,,,,,75,,x,,,,x,,,,,75,75,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,X,,,,,,,X,,,,MR,75,88,,X,,,,,,X,,,,,,100,1/11/2024,,x,,,,                     R,x,,,,,,75,88,,,X,,,,MR,X,,,,,,75,,X,,,,,,X,,,,,,100,1/11/2024,,x,,,,                     R,x,,,,,,75,88
4,9,KER,58,,80,,81,1,,9,District 6 - South Region,District 6 - South Region,HiMt-3,Beg FY22,,,1,0,,,1,0,0,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,,1,0,1,,,100,50,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,,x,,,,x,,,,,75,x,,,,,x,,,,,100,88,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,,X,,,,X,,,,,75,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,X,,,,,,,X,,,,MR,75,88,,,X,,,,R,X,,,,,,75,1/11/2024,,x,,,,                     M,x,,,,,,75,75,,X,,,,,,X,,,,,,100,,X,,,,,,X,,,,,,100,1/11/2024,,x,,,,                     M,x,,,,,,75,88
5,9,KER,58,,81,,82,1,,9,District 6 - South Region,District 6 - South Region,HiMt-3,Beg FY22,,,1,0,,,1,0,0,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,,1,0,1,,,100,50,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,X,,,,,,,X,,,,MR,75,88,,X,,,,,,X,,,,,,100,1/11/2024,x,,,,,,x,,,,,,100,100,,X,,,,,,X,,,,,,100,,X,,,,,,X,,,,,,100,1/11/2024,x,,,,,,x,,,,,,100,100
6,9,KER,58,,82,,83,,,,,,,Beg FY22,,,1,0,,,1,0,0,FY22/Q1,,1,,50,,1,,0,25,FY22/Q2,,,1,0,1,,,100,50,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,,X,,,,X,,,,,75,,X,,,,X,,,,,75,75,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,,X,,,,X,,,,,75,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,X,,,,,,,X,,,,M,75,88,,,X,,,,R,X,,,,,,75,1/11/2024,x,,,,,,x,,,,,,100,88,,X,,,,,,X,,,,,,100,,X,,,,,,X,,,,,,100,1/11/2024,x,,,,,,x,,,,,,100,100
7,9,KER,58,R,83,R,84,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,,1,0,1,,,100,50,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,X,,,,,,,,X,,,M,50,75,,X,,,,,,X,,,,,,100,1/11/2024,x,,,,,,x,,,,,,100,100,,X,,,,,,X,,,,,,100,,X,,,,,,X,,,,,,100,1/11/2024,x,,,,,,x,,,,,,100,100
8,9,KER,58,R,84,R,85,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,,1,,50,,1,,50,50,FY22/Q1,1,,,100,,1,,50,75,FY22/Q2,,,1,0,1,,,100,50,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,X,,,,,,,X,,,,MR,75,88,,X,,,,,,X,,,,,,100,1/11/2024,x,,,,,,x,,,,,,100,100,,X,,,,,,X,,,,,,100,,X,,,,,,X,,,,,,100,1/11/2024,x,,,,,,x,,,,,,100,100
9,9,KER,58,R,85,R,86,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,,1,,50,,1,,50,50,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,X,,,,,,X,,,,,,100,100,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100,,X,,,,,,X,,,,,,100,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100
10,9,KER,58,R,86,R,87,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,1,,,100,,1,,50,75,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,,x,,,,RS,75,,X,,,,,,,X,,,,MR,75,75,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100,,X,,,,,,X,,,,,,100,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100
11,9,KER,58,R,87,R,88,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,1,,,100,1,,,100,100,FY22/Q1,,1,,50,1,,,100,75,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,X,,,,,,X,,,,,,100,100,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100,,X,,,,,,X,,,,,,100,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100
12,9,KER,58,R,88,R,89,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,,1,,50,1,,,100,75,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,,XR,,,,X,,,,,75,,X,,,,X,,,,,75,75,,x,,,,,,x,,,,,,100,,,X,,,,,X,,,,,,75,88,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100,,X,,,,,,X,,,,,,100,,,X,,,,S,X,,,,,,75,1/11/2024,X,,,,,,x,,,,,,100,88
13,9,KER,58,R,89,R,90,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,,1,,50,,1,,50,50,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,X,,,,,,X,,,,,,100,100,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100,,X,,,,,,X,,,,,,100,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100
14,9,KER,58,R,90,R,91,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,,1,,50,,1,,50,50,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,,x,,,,75,x,,,,,,x,,,,75,75,FY23/Q1,,X,,,,,X,,,,50,,X,,,,X,,,,,75,63,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,X,,,,,,X,,,,,,100,100,,X,,,,,,,X,,,,R,75,1/11/2024,X,,,,,,x,,,,,,100,88,,X,,,,,,X,,,,,,100,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100
15,9,KER,58,R,91,R,92,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,,1,0,1,,,100,50,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,,X,,,,X,,,,,75,,X,,,,X,,,,,75,75,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,,X,,,,75,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,,X,,,,R,X,,,,,,75,88,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100,,X,,,,,,X,,,,,,100,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100
16,9,KER,58,R,92,R,93,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,1,1,25,,1,,50,38,FY22/Q2,,,1,0,1,,,100,50,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,,X,,,,X,,,,,75,,X,,,,X,,,,,75,75,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,X,,,,,,X,,,,,,100,100,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100,,,X,,,,RS,X,,,,,,75,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100
17,9,KER,58,R,93,R,94,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,,1,,50,,1,,50,50,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,,1,0,1,,,100,50,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,,XM,,,,X,,,,,75,,X,,,,X,,,,,75,75,,x,,,,,,x,,,,,,100,,,X,,,,M,,X,,,,M,50,75,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100,,,,X,,,RS,X,,,,,,50,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100
18,9,KER,58,R,94,R,95,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,,X,,,,R,,,X,,,M,25,63,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100,,,X,,,,RS,X,,,,,,75,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100
19,9,KER,58,R,95,R,96,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,,,1,0,1,,,100,50,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,1,,50,1,,,100,75,FY22/Q3,,x,,,,,x,,,,50,,x,,,,x,,,,,75,63,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,,X,,,,X,,,,,75,X,,,,,X,,,,,100,88,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,X,,,,,,X,,,,,,100,100,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100,,,,X,,,RS,X,,,,,,50,,,,X,,,S,X,,,,,,50,1/11/2024,X,,,,,,x,,,,,,100,75
20,9,KER,58,R,96,R,97,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,,1,,50,1,,,100,75,FY22/Q1,,1,,50,1,,,100,75,FY22/Q2,,1,,50,1,,,100,75,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,X,,,,,,X,,,,,,100,100,,,X,,,,R,X,,,,,,75,1/11/2024,X,,,,,,x,,,,,,100,88,,,,X,,,RS,X,,,,,,50,,,,X,,,S,X,,,,,,50,1/11/2024,X,,,,,,x,,,,,,100,75
21,9,KER,58,R,97,R,98,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,Beg FY22,,1,,50,1,,,100,75,FY22/Q1,,1,,50,1,,,100,75,FY22/Q2,,1,,50,1,,,100,75,FY22/Q3,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,X,,,,,X,,,,,100,FY23/Q4,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,,x,,,,,,x,,,,,,100,,X,,,,,,X,,,,,,100,100,,X,,,,,,X,,,,,,100,1/11/2024,X,,,,,,x,,,,,,100,100,,,X,,,,MR,X,,,,,,75,,,,X,,,S,X,,,,,,50,1/11/2024,X,,,,,,x,,,,,,100,75
